,bed,bath,sqft,price,lat,long
3108,5,4.1,2438,1249000,33.67854115,-117.81721404483334
3109,3,2.1,2500,1500000,33.5309722,-117.75971621656626
3110,3,2.0,1800,998800,33.6979188,-117.76324327466526
3111,4,3.0,2872,1030000,33.48531115,-117.58289710004324
3112,4,3.0,3234,1149000,33.51167905,-117.63491054601695
3113,3,2.0,1042,1270000,33.66398080370318,-118.00071637102724
3114,3,2.1,1927,1149000,33.698750149999995,-118.02539317723651
3115,4,3.1,3824,1399000,33.8566986,-117.76531960867091
3116,5,2.1,2478,1070000,33.68173015,-117.98634989652048
3117,4,4.0,2753,1298000,33.68638625,-117.70129031441297
3118,4,2.1,2428,1275000,33.6760423,-117.98155273957563
3119,4,3.0,2452,1025000,33.5095722,-117.680666
3120,5,4.1,2835,1100000,33.726518150000004,-117.9562639763439
3121,4,4.0,2846,1049000,33.74145715,-117.9739151084479
3122,4,3.0,2817,1299900,33.69802075,-117.7112449532783
3123,3,2.1,2030,1249000,33.69434165,-117.96561845631027
3124,4,3.0,3117,1195000,33.71528910000001,-117.77134188598131
3125,4,2.1,1925,1200000,33.7094581,-118.03164462554554
3126,4,3.1,2746,1370000,33.6831738,-117.74011194952863
3127,4,2.1,2731,1195000,33.76516295,-117.81637973989086
3128,5,3.1,3440,1096000,33.627381650000004,-117.6276216958777
3129,5,4.0,3415,1185000,33.677310399999996,-117.63215547045709
3131,5,3.0,2243,1050000,33.705384699999996,-117.96765604004025
3132,5,3.0,2694,1198000,33.7800225,-117.79346663697817
3133,4,4.0,3179,1299000,33.7001043,-117.71132941438302
